mesh,mesh_label,method,phase,DMC_relative_kJmol,relative_kJmol,error_kJmol
k555,5x5x5,GFN2-xTB,VII,4.990000,8.379195,3.389195
k555,5x5x5,GFN2-xTB,VIII,4.230000,4.571383,0.341383
k555,5x5x5,GFN2-xTB,IX,0.600000,-2.688544,-3.288544
k555,5x5x5,GFN2-xTB,XI,0.160000,-0.428901,-0.588901
k555,5x5x5,GFN2-xTB,XIII,2.120000,-4.226296,-6.346296
k555,5x5x5,GFN2-xTB,XIV,1.700000,-1.238553,-2.938553
k555,5x5x5,GFN2-xTB,XV,1.740000,-2.705042,-4.445042
k555,5x5x5,GFN2-xTB,XVII,1.750000,-2.365961,-4.115961
k555,5x5x5,g-xTB,Ih,0.000000,0.000000,0.000000
k555,5x5x5,g-xTB,II,0.310000,-5.067836,-5.377836
k555,5x5x5,g-xTB,III,1.250000,-1.287033,-2.537033
k555,5x5x5,g-xTB,IV,3.830000,-0.378562,-4.208562
k555,5x5x5,g-xTB,VI,1.780000,-4.759390,-6.539390
k555,5x5x5,g-xTB,VII,4.990000,-16.925715,-21.915715
k555,5x5x5,g-xTB,VIII,4.230000,0.536413,-3.693587
k555,5x5x5,g-xTB,IX,0.600000,-2.957968,-3.557968
k555,5x5x5,g-xTB,XI,0.160000,-3.414453,-3.574453
k555,5x5x5,g-xTB,XIII,2.120000,-2.568542,-4.688542
k555,5x5x5,g-xTB,XIV,1.700000,-8.488165,-10.188165
k555,5x5x5,g-xTB,XV,1.740000,-4.772642,-6.512642
k555,5x5x5,g-xTB,XVII,1.750000,-4.882306,-6.632306
k666,6x6x6,g-xTB,Ih,0.000000,0.000000,0.000000
k666,6x6x6,g-xTB,II,0.310000,-4.990039,-5.300039
k666,6x6x6,g-xTB,III,1.250000,-1.252490,-2.502490
k666,6x6x6,g-xTB,IV,3.830000,-0.387297,-4.217297
k666,6x6x6,g-xTB,VI,1.780000,-4.584446,-6.364446
k666,6x6x6,g-xTB,VII,4.990000,-1.649076,-6.639076
k666,6x6x6,g-xTB,VIII,4.230000,1.654209,-2.575791
k666,6x6x6,g-xTB,IX,0.600000,-2.940016,-3.540016
k666,6x6x6,g-xTB,XI,0.160000,-0.908233,-1.068233
k666,6x6x6,g-xTB,XIII,2.120000,-2.573728,-4.693728
k666,6x6x6,g-xTB,XIV,1.700000,-4.091141,-5.791141
k666,6x6x6,g-xTB,XV,1.740000,-4.593371,-6.333371
k666,6x6x6,g-xTB,XVII,1.750000,-4.742913,-6.492913
